"filename", "language", "JavaScript", "Objective-C", "JSON", "XML", "C++", "JavaScript React", "Markdown", "CSS", "YAML", "Shell Script", "Groovy", "Properties", "Batch", "Java", "comment", "blank", "total"
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\Images.xcassets\Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\LaunchScreen.storyboard", "XML", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 59
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\main.m", "Objective-C", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\dev\repos\ZanysoundApp\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\dev\repos\ZanysoundApp\package-lock.json", "JSON", 0, 0, 24391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24392
"c:\dev\repos\ZanysoundApp\package.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\dev\repos\ZanysoundApp\service.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\dev\repos\ZanysoundApp\src\api\DeezerApi.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 125
"c:\dev\repos\ZanysoundApp\src\auth\DeezerAuth.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 144
"c:\dev\repos\ZanysoundApp\src\components\AddToPlaylistButton.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\dev\repos\ZanysoundApp\src\components\AddToPlaylistModal.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 180
"c:\dev\repos\ZanysoundApp\src\components\AlbumCover.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\dev\repos\ZanysoundApp\src\components\Button.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\dev\repos\ZanysoundApp\src\components\ConfirmationModal.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"c:\dev\repos\ZanysoundApp\src\components\Cover.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 177
"c:\dev\repos\ZanysoundApp\src\components\CustomText.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"c:\dev\repos\ZanysoundApp\src\components\Icon.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 92
"c:\dev\repos\ZanysoundApp\src\components\LikeButton.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\dev\repos\ZanysoundApp\src\components\LoadingIndicator.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\dev\repos\ZanysoundApp\src\components\Modal.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 87
"c:\dev\repos\ZanysoundApp\src\components\ModalWindowSystem.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 59
"c:\dev\repos\ZanysoundApp\src\components\Navigation.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 74
"c:\dev\repos\ZanysoundApp\src\components\NewPlaylistButtonCover.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\dev\repos\ZanysoundApp\src\components\NewPlaylistModal.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 134
